valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2020-M08,month,CHFL,CHFL,all,agegroup_tick,all,45,8709355,0.52,387,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2020-M09,month,CHFL,CHFL,all,agegroup_tick,all,22,8709355,0.25,409,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M10,month,CHFL,CHFL,all,agegroup_tick,all,10,8709355,0.11,419,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M11,month,CHFL,CHFL,all,agegroup_tick,all,12,8709355,0.14,431,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M12,month,CHFL,CHFL,all,agegroup_tick,all,2,8709355,0.02,433,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M01,month,CHFL,CHFL,all,agegroup_tick,all,1,8778099,0.01,1,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M02,month,CHFL,CHFL,all,agegroup_tick,all,2,8778099,0.02,3,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M03,month,CHFL,CHFL,all,agegroup_tick,all,6,8778099,0.07,9,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M04,month,CHFL,CHFL,all,agegroup_tick,all,12,8778099,0.14,21,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M05,month,CHFL,CHFL,all,agegroup_tick,all,38,8778099,0.43,59,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M06,month,CHFL,CHFL,all,agegroup_tick,all,71,8778099,0.81,130,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M07,month,CHFL,CHFL,all,agegroup_tick,all,69,8778099,0.79,199,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M08,month,CHFL,CHFL,all,agegroup_tick,all,32,8778099,0.36,231,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M09,month,CHFL,CHFL,all,agegroup_tick,all,21,8778099,0.24,252,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M10,month,CHFL,CHFL,all,agegroup_tick,all,12,8778099,0.14,264,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M11,month,CHFL,CHFL,all,agegroup_tick,all,6,8778099,0.07,270,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M12,month,CHFL,CHFL,all,agegroup_tick,all,3,8778099,0.03,273,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M01,month,CHFL,CHFL,all,agegroup_tick,all,1,8855062,0.01,1,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M02,month,CHFL,CHFL,all,agegroup_tick,all,1,8855062,0.01,2,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M03,month,CHFL,CHFL,all,agegroup_tick,all,6,8855062,0.07,8,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M04,month,CHFL,CHFL,all,agegroup_tick,all,8,8855062,0.09,16,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M05,month,CHFL,CHFL,all,agegroup_tick,all,55,8855062,0.62,71,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M06,month,CHFL,CHFL,all,agegroup_tick,all,118,8855062,1.33,189,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M07,month,CHFL,CHFL,all,agegroup_tick,all,75,8855062,0.85,264,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M08,month,CHFL,CHFL,all,agegroup_tick,all,42,8855062,0.47,306,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M09,month,CHFL,CHFL,all,agegroup_tick,all,23,8855062,0.26,329,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M10,month,CHFL,CHFL,all,agegroup_tick,all,28,8855062,0.32,357,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M11,month,CHFL,CHFL,all,agegroup_tick,all,22,8855062,0.25,379,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M12,month,CHFL,CHFL,all,agegroup_tick,all,2,8855062,0.02,381,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2023-M01,month,CHFL,CHFL,all,agegroup_tick,all,2,9002273,0.02,2,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2023-M02,month,CHFL,CHFL,all,agegroup_tick,all,3,9002273,0.03,5,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2023-M03,month,CHFL,CHFL,all,agegroup_tick,all,6,9002273,0.07,11,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2023-M04,month,CHFL,CHFL,all,agegroup_tick,all,18,9002273,0.2,29,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2023-M05,month,CHFL,CHFL,all,agegroup_tick,all,40,9002273,0.44,69,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2023-M06,month,CHFL,CHFL,all,agegroup_tick,all,61,9002273,0.68,130,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2023-M07,month,CHFL,CHFL,all,agegroup_tick,all,75,9002273,0.83,205,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2023-M08,month,CHFL,CHFL,all,agegroup_tick,all,31,9002273,0.34,236,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2023-M09,month,CHFL,CHFL,all,agegroup_tick,all,13,9002273,0.14,249,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2023-M10,month,CHFL,CHFL,all,agegroup_tick,all,30,9002273,0.33,279,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2023-M11,month,CHFL,CHFL,all,agegroup_tick,all,15,9002273,0.17,294,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2023-M12,month,CHFL,CHFL,all,agegroup_tick,all,6,9002273,0.07,300,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2024-M01,month,CHFL,CHFL,all,agegroup_tick,all,2,9091915,0.02,2,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2024-M02,month,CHFL,CHFL,all,agegroup_tick,all,8,9091915,0.09,10,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2024-M03,month,CHFL,CHFL,all,agegroup_tick,all,14,9091915,0.15,24,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2024-M04,month,CHFL,CHFL,all,agegroup_tick,all,26,9091915,0.29,50,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2024-M05,month,CHFL,CHFL,all,agegroup_tick,all,64,9091915,0.7,114,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2024-M06,month,CHFL,CHFL,all,agegroup_tick,all,91,9091915,1,205,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2024-M07,month,CHFL,CHFL,all,agegroup_tick,all,85,9091915,0.93,290,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2024-M08,month,CHFL,CHFL,all,agegroup_tick,all,62,9091915,0.68,352,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2024-M09,month,CHFL,CHFL,all,agegroup_tick,all,13,9091915,0.14,365,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2024-M10,month,CHFL,CHFL,all,agegroup_tick,all,41,9091915,0.45,406,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2024-M11,month,CHFL,CHFL,all,agegroup_tick,all,21,9091915,0.23,427,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2024-M12,month,CHFL,CHFL,all,agegroup_tick,all,5,9091915,0.05,432,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2025-M01,month,CHFL,CHFL,all,agegroup_tick,all,2,9091915,0.02,2,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2025-M02,month,CHFL,CHFL,all,agegroup_tick,all,1,9091915,0.01,3,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2025-M03,month,CHFL,CHFL,all,agegroup_tick,all,5,9091915,0.05,8,NA,stagnant,NA,NA,NA,NA,NA,TRUE
