valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2019-M07,month,CHFL,CHFL,all,agegroup_tick,all,24,8644780,0.28,77,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M08,month,CHFL,CHFL,all,agegroup_tick,all,18,8644780,0.21,95,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M09,month,CHFL,CHFL,all,agegroup_tick,all,21,8644780,0.24,116,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M10,month,CHFL,CHFL,all,agegroup_tick,all,17,8644780,0.2,133,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M11,month,CHFL,CHFL,all,agegroup_tick,all,16,8644780,0.19,149,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M12,month,CHFL,CHFL,all,agegroup_tick,all,6,8644780,0.07,155,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M01,month,CHFL,CHFL,all,agegroup_tick,all,2,8709355,0.02,2,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M02,month,CHFL,CHFL,all,agegroup_tick,all,2,8709355,0.02,4,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M03,month,CHFL,CHFL,all,agegroup_tick,all,6,8709355,0.07,10,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2020-M04,month,CHFL,CHFL,all,agegroup_tick,all,6,8709355,0.07,16,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2020-M05,month,CHFL,CHFL,all,agegroup_tick,all,19,8709355,0.22,35,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M06,month,CHFL,CHFL,all,agegroup_tick,all,23,8709355,0.26,58,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M07,month,CHFL,CHFL,all,agegroup_tick,all,14,8709355,0.16,72,NA,stagnant,NA,NA,NA,NA,NA,TRUE
